indice;fecha;base
31;sep-22;476523820
19;sep-21;396239670
7;sep-20;347765400
32;oct-22;464978080
20;oct-21;396161120
8;oct-20;334705440
33;nov-22;472773130
21;nov-21;412412980
9;nov-20;334677480
27;may-22;418003030
15;may-21;358756140
3;may-20;96790840
25;mar-22;436215330
13;mar-21;359797990
2;mar-20;2351000
28;jun-22;409880500
16;jun-21;336919930
4;jun-20;389619880
29;jul-22;462448500
17;jul-21;364554200
5;jul-20;416568970
24;feb-22;392745110
12;feb-21;328329970
1;feb-20;1919000
35;ene-23;393275030
23;ene-22;420904170
11;ene-21;415083000
34;dic-22;513664420
22;dic-21;509671600
10;dic-20;458839500
30;ago-22;475147100
18;ago-21;372155080
6;ago-20;367003960
26;abr-22;444373000
14;abr-21;347460000
