,fecha,base
0,sep-22,47652382.0
1,sep-21,39623967.0
2,sep-20,34776540.0
3,oct-22,46497808.0
4,oct-21,39616112.0
5,oct-20,33470544.0
6,nov-22,47277313.0
7,nov-21,41241298.0
8,nov-20,33467748.0
9,may-22,41800303.0
10,may-21,35875614.0
11,may-20,9679084.0
12,mar-22,43621533.0
13,mar-21,35979799.0
14,mar-20,235100.0
15,jun-22,40988050.0
16,jun-21,33691993.0
17,jun-20,38961988.0
18,jul-22,46244850.0
19,jul-21,36455420.0
20,jul-20,41656897.0
21,feb-22,39274511.0
22,feb-21,32832997.0
23,feb-20,191900.0
24,ene-23,39327503.0
25,ene-22,42090417.0
26,ene-21,41508300.0
27,dic-22,51366442.0
28,dic-21,50967160.0
29,dic-20,45883950.0
30,ago-22,47514710.0
31,ago-21,37215508.0
32,ago-20,36700396.0
33,abr-22,44437300.0
34,abr-21,34746000.0
